Material,zt,nomalized_zt,k(W/m-k),nomalized_k,Conductivity(S/cm),nomalized_c,S(__V/K),nomalized_s,calculated_zt,normalized_calculated_zt,cop_normalized_calculated_zt,error_zt
Bi1Cu1Se1O1,0.92,1,0.7223,1,446.126,1,146.245,1,0.9260192,1,1,0.7
Bi0.98Sn0.02Cu1Se1O1,0.71,0.77173913,0.8563,1.185518483,407.91,0.914338102,145.164,0.992608294,0.703678496,0.759896227,0.759896227,-0.9
Bi0.96Sn0.04Cu1Se1O1,0.67,0.72826087,1.0033,1.389035027,426.163,0.955252552,150.029,1.025874389,0.670213815,0.723758012,0.723758012,0.0
Bi0.94Sn0.06Cu1Se1O1,0.66,0.717391304,0.8823,1.221514606,275.277,0.617038684,171.11,1.170022907,0.640357423,0.691516356,0.691516356,-3.0
Bi0.92Sn0.08Cu1Se1O1,0.64,0.695652174,0.8887,1.23037519,333.028,0.74648866,157.056,1.073923895,0.647966647,0.699733491,0.699733491,1.2
Bi0.985Na0.015Cu1Se1O1,0.38,1,0.5433,1,28.186,1,321.839,1,0.376156978,1,1,-1.0
Bi0.945Na0.015Pb0.04Cu1Se1O1,0.51,1.342105263,0.6412,1.180195104,132.948,4.716809764,187.644,0.58303686,0.511040947,1.358584252,1.358584252,0.2
Bi0.925Na0.015Pb0.06Cu1Se1O1,0.49,1.289473684,0.7006,1.289526965,188.525,6.688604272,161.782,0.502679911,0.493011735,1.31065423,1.31065423,0.6
Bi0.905Na0.015Pb0.08Cu1Se1O1,0.54,1.421052632,0.6774,1.246824959,244.681,8.680940893,147.126,0.457141614,0.547308194,1.454999443,1.454999443,1.4
Bi1Cu1Se1O1,0.25,1,0.6095,1,23.705,1,314.713,1,0.269645797,1,1,7.9
Bi0.99Cd0.01Cu1Se1O1,0.43,1.72,0.5094,0.835767022,35.978,1.517738874,297.985,0.94684681,0.439000407,1.628063229,1.628063229,2.1
Bi0.95Cd0.05Cu1Se1O1,0.67,2.68,0.4942,0.810828548,84.16,3.550305843,230.451,0.732257644,0.633079455,2.347818737,2.347818737,-5.5
Bi0.90Cd0.10Cu1Se1O1,0.45,1.8,0.5742,0.942083675,89.16,3.761231808,208.146,0.661383546,0.470913402,1.746414767,1.746414767,4.6
Bi1Cu1Se1O1,0.224724901,1,0.635722463,1,21.2603,1,310.6961847,1,0.225960961,1,1,0.6
