formula,k,c,s,zt
Bi1Cu1Se1O1,1,1,1,1
Bi0.98Sn0.02Cu1Se1O1,1.185518483,0.914338102,0.992608294,0.759896227
Bi0.96Sn0.04Cu1Se1O1,1.389035027,0.955252552,1.025874389,0.723758012
Bi0.94Sn0.06Cu1Se1O1,1.221514606,0.617038684,1.170022907,0.691516356
Bi0.985Na0.015Cu1Se1O1,1,1,1,1
Bi0.945Na0.015Pb0.04Cu1Se1O1,1.180195104,4.716809764,0.58303686,1.358584252
Bi0.925Na0.015Pb0.06Cu1Se1O1,1.289526965,6.688604272,0.502679911,1.31065423
Bi1Cu1Se1O1,1,1,1,1
Bi0.95Cd0.05Cu1Se1O1,0.810828548,3.550305843,0.732257644,2.347818737
Bi0.90Cd0.10Cu1Se1O1,0.942083675,3.761231808,0.661383546,1.746414767
Bi1Cu1Se1O1,1,1,1,1
Bi1Cu0.99Ag0.01Se1O1,0.900707515,0.896906441,1.022500486,1.041186917
Bi1Cu1Se1O1,1,1,1,1
Bi0.995Sb0.005Cu1Se1O1,1.019069858,1.243673265,1.017697599,1.263978952
Bi0.950Sb0.050Cu1Se1O1,1.1356295,1.9056001,0.52949846,0.470461949
Bi1Cu1Se1O1,1,1,1,1
Bi0.96Sb0.04Cu1Se0.96Te0.04O1,1.267068664,8.090962893,0.593543228,2.249597228
Bi0.94Sb0.06Cu1Se0.94Te0.06O1,1.325617584,10.27277031,0.553655825,2.375467368
Bi0.92Sb0.08Cu1Se0.92Te0.08O1,1.39019646,13.13641475,0.498576193,2.34889578
Bi1Cu1Se1O1,1,1,1,1
Bi0.96Er0.04Cu1Se1O1,1.163979017,3.125,0.735389707,1.451910894
Bi0.94Er0.06Cu1Se1O1,1.26714591,4.416666667,0.663960287,1.536569487
Bi0.90Er0.10Cu1Se1O1,1.370507092,6.986111111,0.57142942,1.664483117
Bi1Cu1Se1O1,1,1,1,1
Bi0.94Pb0.06Cu0.94Ni0.06Se1O1,1.238030362,6.513557152,0.531733661,1.487562564
Bi0.92Pb0.08Cu0.92Ni0.08Se1O1,1.267613858,8.810867992,0.524091574,1.909176464
Bi0.90Pb0.10Cu0.90Ni0.10Se1O1,1.293499416,12.13523746,0.495714315,2.305392965
Bi1Cu1Se1O1,1,1,1,1
Bi0.975Cu1Se1O1,1.015166667,3.899192754,0.988349012,3.751958454
Bi0.95Cu1Se1O1,1.113666667,9.147469974,0.751455373,4.638228711
Bi0.9Cu1Se1O1,1.0455,9.716085844,0.51650401,2.479217913
Bi1Cu1Se1O1,1,1,1,1
Bi1Cu1Se0.975O1,1.057052033,0.90803175,1.142044938,1.120394723
Bi1Cu1Se0.95O1,1.026601974,1.006459979,1.054923543,1.091029227
Bi1Cu1Se0.9O1,1.167308014,0.724979371,1.037877937,0.669010203
Bi1Cu1Se1O1,1,1,1,1
Bi0.96Pb0.04Cu1Se1O1,1.26936027,3.140630079,0.686324929,1.16544406
Bi0.94Pb0.06Cu1Se1O1,1.291245792,6.04855378,0.585422892,1.605395456
Bi0.92Pb0.08Cu1Se1O1,1.60942761,10.01832516,0.420616232,1.101274881
Bi1Cu1Se1O1,1,1,1,1
Bi0.975Mg0.25Cu1Se1O1,1.136827128,3.675373134,0.86129658,2.398349403
Bi0.95Mg0.05Cu1Se1O1,1.19966801,3.541618829,0.856010024,2.163208794
Bi0.9Mg0.1Cu1Se1O1,1.228124259,3.877583238,0.805812465,2.050155399
Bi0.875Mg0.125Cu1Se1O1,1.195873844,4.057261768,0.859974941,2.509107418
Bi0.850Mg0.150Cu1Se1O1,1.298553474,3.974598163,0.792604316,1.922853756
Bi0.825Mg0.175Cu1Se1O1,1.403130187,4.298076923,0.73844184,1.670355097
Bi0.800Mg0.200Cu1Se1O1,1.572444866,7.746268657,0.533686686,1.40310401
Bi1Cu1Se1O1,1,1,1,1
Bi0.98Na0.02Cu1Se1O1,0.905721297,1.158744029,0.918765499,1.079946612
Bi0.96Na0.04Cu1Se1O1,0.874854707,1.206367238,0.801900868,0.886716864
Bi0.94Na0.06Cu1Se1O1,0.759008136,1.388908307,0.911638101,1.520799915
Bi0.92Na0.08Cu1Se1O1,0.774506005,1.626995223,0.844654966,1.498718844
Bi0.85Na0.15Cu1Se1O1,0.913470231,2.079401142,0.726366914,1.201035893
Bi0.80Na0.20Cu1Se1O1,0.891902363,2.119072585,0.657956927,1.02854535
Bi1Cu1Se1O1,1,1,1,1
Bi0.98K0.02Cu1Se1O1,0.818307906,1.109022556,0.982175782,1.307380716
Bi0.96K0.04Cu1Se1O1,0.786407767,0.979028149,1.046129178,1.362441976
Bi0.94K0.06Cu1Se1O1,0.833564494,0.979028149,0.944436889,1.047615356
Bi0.92K0.08Cu1Se1O1,0.850208044,1,0.9213723,0.998493159
Bi0.90K0.10Cu1Se1O1,0.815533981,1.239016964,0.793471833,0.956529173
Bi1Cu1Se1O1,1,1,1,1
Bi0.970In0.030Cu1Se1O1,1.160708206,1.100393975,1.023004006,0.992155668
Bi0.950In0.050Cu1Se1O1,1.126149132,1.468366165,0.924846927,1.11526527
Bi0.925In0.075Cu1Se1O1,1.207184202,1.71170336,0.872697861,1.079898114
Bi1Cu1Se1O1,1,1,1,1
Bi0.900Ba0.100Cu1Se1O1,1.276894042,50.23076923,0.413143222,6.7145395
Bi0.875Ba0.125Cu1Se1O1,1.351846859,55.92307692,0.389583006,6.278610925
Bi0.850Ba0.150Cu1Se1O1,1.454569965,60.23076923,0.348554867,5.030673106
Bi1Cu1Se1O1,1,1,1,1
Bi0.950Mg0.050Cu1Se1O1,0.924221922,1.828620764,0.833955498,1.376046577
Bi0.875Mg0.125Cu1Se1O1,0.864411367,3.549751781,0.682085079,1.910533314
Bi1Cu1Se1O1,1,1,1,1
Bi0.975Ca0.025Cu1Se1O1,1.076153419,1.541699437,0.7803703,0.872422763
Bi0.950Ca0.025Cu1Se1O1,1.114878636,2.72922893,0.765640651,1.435034493
Bi0.925Ca0.075Cu1Se1O1,1.194737817,4.29178595,0.657165418,1.551368061
Bi0.900Ca0.100Cu1Se1O1,1.354826756,6.646050272,0.54199517,1.441022262
Bi0.875Ca0.125Cu1Se1O1,1.39484899,8.25025954,0.505834711,1.513413745
Bi1Cu1Se1O1,1,1,1,1
Bi0.995Na0.005Cu1Se1O1,0.911693791,9.096304348,0.804864249,6.463403361
Bi0.985Na0.015Cu1Se1O1,0.807414105,11.47956522,0.753454345,8.071290735
Bi0.980Na0.020Cu1Se1O1,0.727094635,9.972826087,0.747373419,7.66130232
Bi1Cu1Se1O1,1,1,1,1
Bi0.975Cu1Se1O1,0.737762238,1.729809615,0.906942043,1.928594635
Bi1Cu0.975Se1O1,0.891608392,3.079022864,0.811586027,2.274614949
Bi0.975Cu0.975Se1O1,0.667832168,3.64939581,0.75299407,3.098394746
Bi1Cu1Se1O1,1,1,1,1
Bi0.94La0.00Pb0.06Cu1Se1O1,1.79415434,7.339627465,0.584488957,1.397548339
Bi0.93La0.01Pb0.06Cu1Se1O1,1.838531456,9.497626004,0.5729148,1.695602635
Bi0.92La0.02Pb0.06Cu1Se1O1,1.806808056,9.497626004,0.535878095,1.509506737
Bi0.90La0.04Pb0.06Cu1Se1O1,1.530030298,7.952447042,0.554397941,1.597511421
Bi1Cu1Se1O1,1,1,1,1
Bi1Cu1Se0.98Te0.02O1,1.171904762,2.982098676,0.957867544,2.334751196
